date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,landings,Total Landed Weight
2015-03-01,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A380,800,30,25860000
2015-03-01,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000
2015-03-01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,300ER,3,1662000
2015-03-01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,28,12880000
2015-03-01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,800,24,18312000
2015-03-01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400F,2,1304000
2015-03-01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400ERF,5,3265000
2015-03-01,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,400F,12,7824000
2015-03-01,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Airbus,A330,300,1,411400
2015-03-01,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Airbus,A330,200,23,9209200
2015-03-01,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,400,3,1886160
2015-03-01,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,151,25972000
2015-03-01,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,298,42375600
2015-03-01,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17174000
2015-03-01,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A330,200,61,24461000
2015-03-01,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,143,19233500
2015-03-01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,2,872000
2015-03-01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,12,4494000
2015-03-01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,60,20,6174000
2015-03-01,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Passenger,Wide Body,Boeing,777,300ER,31,17173969
2015-03-01,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,300ER,62,34348000
2015-03-01,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,400F,6,3912000
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,-,59,8378000
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,52,7394400
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,114,7,940800
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,102,30090000
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,300,78,17472000
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,-,294,58212000
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,900,116,18246800
2015-03-01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146300
2015-03-01,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,175,614,46158678
2015-03-01,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,787,800,13,4940000
2015-03-01,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A330,200,31,12437200
2015-03-01,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,400F,20,13320000
2015-03-01,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
2015-03-01,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,300ER,62,34286000
2015-03-01,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A380,800,2,1724014
2015-03-01,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,60,37800000
2015-03-01,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,-,17,4624000
2015-03-01,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,747,400BCF,2,1332000
2015-03-01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000
2015-03-01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400F,17,11154000
2015-03-01,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,-,21,294000
2015-03-01,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,-,20,322000
2015-03-01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,135,23152500
